stop_id,stop_name,stop_lat,stop_lon,zone_id
777,Cávado XII ,41.602131,-8.428743,3
778,Cávado XII,41.602142,-8.428851,3
779,Cávado XIII (Ponte do Bico),41.603569,-8.428378,3
780,Cávado XIII (Ponte do Bico),41.603451,-8.428304,3
782,Marginal I ,41.604225,-8.429333,3
784,Marginal II ,41.603554,-8.432949,3
786,Marginal III (Quinta dos Ingleses),41.602001,-8.436511,3
787,Paço Palmeira (Brac Augusta),41.596794,-8.433057,3
789,Paço Palmeira (Pinhal),41.598347,-8.434594,3
791,Paço Palmeira (Verdasca),41.599590,-8.435801,3
793,Paço Palmeira (Securitas),41.593094,-8.431545,3
795,Est Bom Jesus (Limite 2/3),41.556934,-8.378238,2
796,Est Bom Jesus (Limite 3/2),41.556911,-8.378338,3
797,Est Bom Jesus (Castelos),41.557056,-8.376981,3
798,Est Bom Jesus (Castelos),41.557106,-8.377124,3
799,Rio Mau II (Estrada Espinho),41.548859,-8.369662,3
800,Rio Mau II (Estrada Espinho),41.548893,-8.369598,3
801,Rio Mau III (Cruzamento),41.546391,-8.364631,3
802,S Martinho I (Cachada),41.548992,-8.364315,3
803,S Martinho I (Cachada),41.549030,-8.364415,3
804,S Martinho II,41.552769,-8.355877,3
805,S Martinho II,41.552841,-8.355809,3
806,Imac Conceição I (Carreira Tiro),41.554310,-8.352596,3
807,Imac Conceição I (Carreira Tiro),41.554363,-8.352607,3
808,Imac Conceição II (Sandim),41.554115,-8.347583,3
809,Imac Conceição II (Sandim),41.554176,-8.347584,3
810,Igreja II,41.552898,-8.336510,3
811,Igreja IV (Escola),41.551796,-8.332604,3
812,Igreja IV (Escola),41.551716,-8.332513,3
813,Lageosa I,41.552334,-8.329778,3
814,Lageosa I,41.552387,-8.329774,3
815,Lageosa II (Fontenário),41.552284,-8.327262,3
816,Lageosa II (Fontenário),41.552303,-8.327157,3
817,Lageosa III (Monte),41.550346,-8.325054,3
818,Lageosa III (Monte),41.550377,-8.324916,3
819,Lageosa IV,41.548290,-8.324853,3
820,Lageosa IV,41.548279,-8.324779,3
821,Lageosa V (Portuguediz),41.542210,-8.321327,3
822,Santo André I (P Industrial),41.594810,-8.414672,3
824,Requeixo I (Batocas),41.557224,-8.333705,3
826,Requeixo II,41.557362,-8.330232,3
828,Ranhó I (Farmácia),41.556526,-8.327413,3
830,Ranhó II,41.557476,-8.324908,3
832,Ranhó III (Igreja),41.559692,-8.321235,3
834,António Machado I,41.560528,-8.313206,3
835,Carvalheiras II,41.558125,-8.312239,3
837,António Machado II,41.558685,-8.312673,3
838,Regadas I (Tanque),41.558662,-8.309504,3
840,Regadas II (Palmeira),41.558704,-8.305237,3
842,Alvar,41.557396,-8.298709,3
844,Marco ,41.559593,-8.297900,3
845,Bustelo I (Cruzamento),41.561832,-8.307815,3
846,Bustelo II,41.563850,-8.311180,3
848,Espirito Santo I (Ribeiro),41.564392,-8.314072,3
849,Igreja I,41.563457,-8.319782,3
850,Igreja II (Escola Nova),41.561363,-8.321807,3
851,Sol I,41.521133,-8.451683,3
852,Sol I,41.521126,-8.451599,3
853,Sol II,41.520790,-8.453451,3
854,Sol II,41.520718,-8.453402,3
855,Nova Celeirós I (C Futebol),41.520477,-8.455290,3
856,Nova Celeirós I (C Futebol),41.520489,-8.455372,3
857,Nova Celeirós II,41.518761,-8.457208,3
858,Nova Celeirós II,41.518688,-8.457222,3
859,Comunidades Emigrantes,41.517208,-8.457509,3
860,Comunidades Emigrantes,41.517181,-8.457402,3
861,Santa Ana I (Devesa),41.513302,-8.458177,3
862,Santa Ana I (Devesa),41.513329,-8.458308,3
863,Santa Ana II,41.512260,-8.459768,3
864,Santa Ana II,41.512234,-8.459713,3
865,Santa Ana III (Souto),41.511475,-8.461323,3
866,Santa Ana III (Souto),41.511433,-8.461262,3
867,Santa Ana IV,41.509605,-8.461721,3
868,Santa Ana IV,41.509609,-8.461650,3
869,Santa Ana V (Igreja),41.507336,-8.463102,3
870,Santa Ana V (Igreja),41.507298,-8.463070,3
871,Santa Ana VI ,41.507076,-8.464948,3
872,Santa Ana VI ,41.507027,-8.464930,3
873,Santa Ana VII,41.505192,-8.467744,3
874,Santa Ana VII,41.505142,-8.467727,3
875,Santa Ana VIII (Reboredo),41.505821,-8.470467,3
876,Santa Ana VIII (Reboredo),41.505772,-8.470499,3
877,Reboredo,41.506580,-8.473363,3
878,Reboredo,41.506588,-8.473466,3
879,Calçada (Monte),41.508808,-8.472997,3
880,Calçada (Monte),41.508778,-8.473050,3
881,Souto do Eido,41.509048,-8.475157,3
882,Souto do Eido,41.509007,-8.475072,3
883,Igreja I,41.509277,-8.477927,3
884,Igreja I,41.509228,-8.477916,3
885,Igreja II ,41.508282,-8.479390,3
886,Igreja II,41.508228,-8.479371,3
887,S Martinho II (Fradelos),41.505203,-8.476839,3
